id.auto()	student_id.auto()	subject_id.auto()	mark.auto()	created_at.auto()
2145	55507	166	1	2021-10-06 08:59:10.098312
2146	71718	941	0	2021-10-06 08:59:10.098312
2147	4223	838	2	2021-10-06 08:59:10.098312
2148	85986	30	5	2021-10-06 08:59:10.098312
2149	89896	924	3	2021-10-06 08:59:10.098312
2150	77240	41	2	2021-10-06 08:59:10.098312
2151	68260	407	3	2021-10-06 08:59:10.098312
2152	81112	368	5	2021-10-06 08:59:10.098312
2153	3137	348	4	2021-10-06 08:59:10.098312
2154	55237	640	4	2021-10-06 08:59:10.098312
2155	65658	201	5	2021-10-06 08:59:10.098312
2156	53827	309	3	2021-10-06 08:59:10.098312
2157	33951	812	3	2021-10-06 08:59:10.098312
2158	62799	437	2	2021-10-06 08:59:10.098312
2159	66952	872	4	2021-10-06 08:59:10.098312
2160	16732	55	2	2021-10-06 08:59:10.098312
2161	14757	282	0	2021-10-06 08:59:10.098312
2162	40474	224	2	2021-10-06 08:59:10.098312
2163	49028	675	1	2021-10-06 08:59:10.098312
2164	62563	388	4	2021-10-06 08:59:10.098312
2165	76277	853	5	2021-10-06 08:59:10.098312
2166	23811	159	2	2021-10-06 08:59:10.098312
2167	76166	658	1	2021-10-06 08:59:10.098312
2168	1899	848	2	2021-10-06 08:59:10.098312
2169	38200	746	1	2021-10-06 08:59:10.098312
2170	22986	289	0	2021-10-06 08:59:10.098312
2171	42411	152	5	2021-10-06 08:59:10.098312
2172	35014	405	1	2021-10-06 08:59:10.098312
2173	44026	125	1	2021-10-06 08:59:10.098312
2174	36010	94	5	2021-10-06 08:59:10.098312
2175	61727	720	3	2021-10-06 08:59:10.098312
2176	29050	151	2	2021-10-06 08:59:10.098312
2177	40431	818	5	2021-10-06 08:59:10.098312
2178	4117	613	1	2021-10-06 08:59:10.098312
2179	82214	778	0	2021-10-06 08:59:10.098312
2180	27730	508	3	2021-10-06 08:59:10.098312
2181	9161	763	2	2021-10-06 08:59:10.098312
2182	48528	985	4	2021-10-06 08:59:10.098312
2183	70074	441	3	2021-10-06 08:59:10.098312
2184	77429	445	3	2021-10-06 08:59:10.098312
2185	59774	980	3	2021-10-06 08:59:10.098312
2186	45614	173	4	2021-10-06 08:59:10.098312
2187	78698	555	2	2021-10-06 08:59:10.098312
2188	46823	94	2	2021-10-06 08:59:10.098312
2189	46592	823	3	2021-10-06 08:59:10.098312
2190	66918	445	4	2021-10-06 08:59:10.098312
2191	5151	430	5	2021-10-06 08:59:10.098312
2192	40615	414	1	2021-10-06 08:59:10.098312
2193	49249	11	1	2021-10-06 08:59:10.098312
2194	89725	585	2	2021-10-06 08:59:10.098312
2195	8659	405	4	2021-10-06 08:59:10.098312
2196	62946	220	1	2021-10-06 08:59:10.098312
2197	83900	512	2	2021-10-06 08:59:10.098312
2198	86710	351	2	2021-10-06 08:59:10.098312
2199	76304	651	2	2021-10-06 08:59:10.098312
2200	10223	319	1	2021-10-06 08:59:10.098312
2201	63208	991	3	2021-10-06 08:59:10.098312
2202	92845	742	1	2021-10-06 08:59:10.098312
2203	13036	220	2	2021-10-06 08:59:10.098312
2204	68131	462	4	2021-10-06 08:59:10.098312
2205	68842	69	4	2021-10-06 08:59:10.098312
2206	88733	35	4	2021-10-06 08:59:10.098312
2207	56773	353	4	2021-10-06 08:59:10.098312
2208	44019	219	1	2021-10-06 08:59:10.098312
2209	60023	184	1	2021-10-06 08:59:10.098312
2210	40170	824	5	2021-10-06 08:59:10.098312
2211	17378	322	3	2021-10-06 08:59:10.098312
2212	79475	433	4	2021-10-06 08:59:10.098312
2213	91004	709	2	2021-10-06 08:59:10.098312
2214	74593	356	2	2021-10-06 08:59:10.098312
2215	8793	781	1	2021-10-06 08:59:10.098312
2216	45976	314	1	2021-10-06 08:59:10.098312
2217	36295	380	5	2021-10-06 08:59:10.098312
2218	70161	81	0	2021-10-06 08:59:10.098312
2219	12217	294	3	2021-10-06 08:59:10.098312
2220	72576	642	5	2021-10-06 08:59:10.098312
2221	55028	574	1	2021-10-06 08:59:10.098312
2222	34369	759	3	2021-10-06 08:59:10.098312
2223	14917	176	2	2021-10-06 08:59:10.098312
2224	22824	324	1	2021-10-06 08:59:10.098312
2225	89714	477	2	2021-10-06 08:59:10.098312
2226	4842	520	3	2021-10-06 08:59:10.098312
2227	740	562	0	2021-10-06 08:59:10.098312
2228	208	939	5	2021-10-06 08:59:10.098312
2229	33430	397	2	2021-10-06 08:59:10.098312
2230	3471	414	3	2021-10-06 08:59:10.098312
2231	98765	347	2	2021-10-06 08:59:10.098312
2232	84491	104	1	2021-10-06 08:59:10.098312
2233	48677	988	5	2021-10-06 08:59:10.098312
2234	34845	809	1	2021-10-06 08:59:10.098312
2235	73869	807	2	2021-10-06 08:59:10.098312
2236	74464	856	4	2021-10-06 08:59:10.098312
2237	83596	632	1	2021-10-06 08:59:10.098312
2238	31660	978	4	2021-10-06 08:59:10.098312
2239	45410	609	4	2021-10-06 08:59:10.098312
2240	34509	668	1	2021-10-06 08:59:10.098312
2241	70986	259	1	2021-10-06 08:59:10.098312
2242	18185	870	1	2021-10-06 08:59:10.098312
2243	40192	793	3	2021-10-06 08:59:10.098312
2244	99332	684	2	2021-10-06 08:59:10.098312
2245	39111	309	3	2021-10-06 08:59:10.098312
2246	83382	249	3	2021-10-06 08:59:10.098312
2247	19662	482	3	2021-10-06 08:59:10.098312
2248	32814	800	2	2021-10-06 08:59:10.098312
2249	32535	688	4	2021-10-06 08:59:10.098312
2250	74433	594	1	2021-10-06 08:59:10.098312
2251	28116	980	2	2021-10-06 08:59:10.098312
2252	70643	691	5	2021-10-06 08:59:10.098312
2253	60790	432	3	2021-10-06 08:59:10.098312
2254	58113	87	4	2021-10-06 08:59:10.098312
2255	31148	858	5	2021-10-06 08:59:10.098312
2256	51145	54	2	2021-10-06 08:59:10.098312
2257	30865	613	3	2021-10-06 08:59:10.098312
2258	72732	547	4	2021-10-06 08:59:10.098312
2259	31339	396	4	2021-10-06 08:59:10.098312
2260	15897	242	2	2021-10-06 08:59:10.098312
2261	25537	658	5	2021-10-06 08:59:10.098312
2262	54281	960	3	2021-10-06 08:59:10.098312
2263	6390	607	2	2021-10-06 08:59:10.098312
2264	32411	102	4	2021-10-06 08:59:10.098312
2265	38269	109	0	2021-10-06 08:59:10.098312
2266	50611	553	4	2021-10-06 08:59:10.098312
2267	33692	833	1	2021-10-06 08:59:10.098312
2268	45724	349	1	2021-10-06 08:59:10.098312
2269	84755	639	3	2021-10-06 08:59:10.098312
2270	42252	27	5	2021-10-06 08:59:10.098312
2271	61491	937	5	2021-10-06 08:59:10.098312
2272	37619	618	2	2021-10-06 08:59:10.098312
2273	52276	557	1	2021-10-06 08:59:10.098312
2274	81287	655	1	2021-10-06 08:59:10.098312
2275	9432	376	2	2021-10-06 08:59:10.098312
2276	71137	914	3	2021-10-06 08:59:10.098312
2277	95159	692	4	2021-10-06 08:59:10.098312
2278	61702	25	4	2021-10-06 08:59:10.098312
2279	80539	226	4	2021-10-06 08:59:10.098312
2280	9796	983	3	2021-10-06 08:59:10.098312
2281	65731	860	5	2021-10-06 08:59:10.098312
2282	16435	446	3	2021-10-06 08:59:10.098312
2283	3630	660	4	2021-10-06 08:59:10.098312
2284	92965	931	1	2021-10-06 08:59:10.098312
2285	2286	291	4	2021-10-06 08:59:10.098312
2286	20212	59	1	2021-10-06 08:59:10.098312
2287	75723	191	0	2021-10-06 08:59:10.098312
2288	89125	836	2	2021-10-06 08:59:10.098312
2289	35907	353	2	2021-10-06 08:59:10.098312
2290	60720	410	3	2021-10-06 08:59:10.098312
2291	88633	143	1	2021-10-06 08:59:10.098312
2292	86632	788	5	2021-10-06 08:59:10.098312
2293	22888	603	0	2021-10-06 08:59:10.098312
2294	34795	752	1	2021-10-06 08:59:10.098312
2295	46510	837	0	2021-10-06 08:59:10.098312
2296	71990	979	0	2021-10-06 08:59:10.098312
2297	46732	584	2	2021-10-06 08:59:10.098312
2298	89550	512	4	2021-10-06 08:59:10.098312
2299	45021	717	4	2021-10-06 08:59:10.098312
2300	42744	242	4	2021-10-06 08:59:10.098312
2301	29371	723	5	2021-10-06 08:59:10.098312
2302	94895	402	4	2021-10-06 08:59:10.098312
2303	79998	410	5	2021-10-06 08:59:10.098312
2304	245	687	2	2021-10-06 08:59:10.098312
2305	12742	908	1	2021-10-06 08:59:10.098312
2306	92004	415	1	2021-10-06 08:59:10.098312
2307	64789	606	3	2021-10-06 08:59:10.098312
2308	75986	898	2	2021-10-06 08:59:10.098312
2309	23396	767	3	2021-10-06 08:59:10.098312
2310	33434	85	1	2021-10-06 08:59:10.098312
2311	21413	752	2	2021-10-06 08:59:10.098312
2312	92377	986	2	2021-10-06 08:59:10.098312
2313	19751	300	2	2021-10-06 08:59:10.098312
2314	41217	189	5	2021-10-06 08:59:10.098312
2315	99328	953	3	2021-10-06 08:59:10.098312
2316	39835	692	3	2021-10-06 08:59:10.098312
2317	94816	560	1	2021-10-06 08:59:10.098312
2318	65354	16	2	2021-10-06 08:59:10.098312
2319	88617	349	3	2021-10-06 08:59:10.098312
2320	66413	6	3	2021-10-06 08:59:10.098312
2321	60936	806	4	2021-10-06 08:59:10.098312
2322	67502	268	5	2021-10-06 08:59:10.098312
2323	92782	501	1	2021-10-06 08:59:10.098312
2324	80613	422	1	2021-10-06 08:59:10.098312
2325	22232	82	1	2021-10-06 08:59:10.098312
2326	67534	902	3	2021-10-06 08:59:10.098312
2327	97828	816	1	2021-10-06 08:59:10.098312
2328	75184	63	1	2021-10-06 08:59:10.098312
2329	3808	230	4	2021-10-06 08:59:10.098312
2330	32838	215	0	2021-10-06 08:59:10.098312
2331	10832	848	2	2021-10-06 08:59:10.098312
2332	33552	230	4	2021-10-06 08:59:10.098312
2333	23620	819	0	2021-10-06 08:59:10.098312
2334	40154	505	3	2021-10-06 08:59:10.098312
2335	25656	77	2	2021-10-06 08:59:10.098312
2336	2948	60	4	2021-10-06 08:59:10.098312
2337	89725	31	2	2021-10-06 08:59:10.098312
2338	47067	398	4	2021-10-06 08:59:10.098312
2339	65861	981	1	2021-10-06 08:59:10.098312
2340	62686	163	1	2021-10-06 08:59:10.098312
2341	49226	53	1	2021-10-06 08:59:10.098312
2342	53139	541	0	2021-10-06 08:59:10.098312
2343	4509	707	2	2021-10-06 08:59:10.098312
2344	8371	424	0	2021-10-06 08:59:10.098312
2345	65613	537	5	2021-10-06 08:59:10.098312
2346	17214	30	1	2021-10-06 08:59:10.098312
2347	29746	305	0	2021-10-06 08:59:10.098312
2348	91828	851	3	2021-10-06 08:59:10.098312
2349	55172	517	1	2021-10-06 08:59:10.098312
2350	86510	68	0	2021-10-06 08:59:10.098312
2351	94878	149	2	2021-10-06 08:59:10.098312
2352	14170	255	3	2021-10-06 08:59:10.098312
2353	52230	30	3	2021-10-06 08:59:10.098312
2354	46978	334	3	2021-10-06 08:59:10.098312
2355	42490	593	1	2021-10-06 08:59:10.098312
2356	92531	804	2	2021-10-06 08:59:10.098312
2357	1395	293	1	2021-10-06 08:59:10.098312
2358	64859	4	1	2021-10-06 08:59:10.098312
2359	45560	600	1	2021-10-06 08:59:10.098312
2360	84018	94	5	2021-10-06 08:59:10.098312
2361	59363	245	3	2021-10-06 08:59:10.098312
2362	79464	105	4	2021-10-06 08:59:10.098312
2363	89202	359	5	2021-10-06 08:59:10.098312
2364	1329	401	1	2021-10-06 08:59:10.098312
2365	34220	871	1	2021-10-06 08:59:10.098312
2366	10474	139	1	2021-10-06 08:59:10.098312
2367	14057	501	2	2021-10-06 08:59:10.098312
2368	87188	632	3	2021-10-06 08:59:10.098312
2369	7346	274	4	2021-10-06 08:59:10.098312
2370	48881	317	5	2021-10-06 08:59:10.098312
2371	27263	443	5	2021-10-06 08:59:10.098312
2372	16879	37	3	2021-10-06 08:59:10.098312
2373	68965	220	1	2021-10-06 08:59:10.098312
2374	63455	690	2	2021-10-06 08:59:10.098312
2375	84691	840	0	2021-10-06 08:59:10.098312
2376	94803	747	0	2021-10-06 08:59:10.098312
2377	44631	736	3	2021-10-06 08:59:10.098312
2378	43191	971	5	2021-10-06 08:59:10.098312
2379	24551	734	4	2021-10-06 08:59:10.098312
2380	89982	1000	4	2021-10-06 08:59:10.098312
2381	56036	23	3	2021-10-06 08:59:10.098312
2382	81189	687	4	2021-10-06 08:59:10.098312
2383	83137	149	1	2021-10-06 08:59:10.098312
2384	4077	712	3	2021-10-06 08:59:10.098312
2385	40485	469	2	2021-10-06 08:59:10.098312
2386	13579	268	2	2021-10-06 08:59:10.098312
2387	16840	405	1	2021-10-06 08:59:10.098312
2388	81043	491	3	2021-10-06 08:59:10.098312
2389	53237	123	0	2021-10-06 08:59:10.098312
2390	61	975	2	2021-10-06 08:59:10.098312
2391	28554	713	0	2021-10-06 08:59:10.098312
2392	16442	724	3	2021-10-06 08:59:10.098312
2393	60306	15	5	2021-10-06 08:59:10.098312
2394	49721	213	5	2021-10-06 08:59:10.098312
2395	55508	414	4	2021-10-06 08:59:10.098312
2396	5678	753	4	2021-10-06 08:59:10.098312
2397	91523	477	1	2021-10-06 08:59:10.098312
2398	64981	731	4	2021-10-06 08:59:10.098312
2399	95932	909	2	2021-10-06 08:59:10.098312
2400	74203	799	4	2021-10-06 08:59:10.098312
2401	8064	150	3	2021-10-06 08:59:10.098312
2402	76700	337	2	2021-10-06 08:59:10.098312
2403	3524	729	4	2021-10-06 08:59:10.098312
2404	36051	963	3	2021-10-06 08:59:10.098312
2405	55745	70	5	2021-10-06 08:59:10.098312
2406	59033	308	2	2021-10-06 08:59:10.098312
2407	7393	14	5	2021-10-06 08:59:10.098312
2408	86420	43	3	2021-10-06 08:59:10.098312
2409	72217	719	5	2021-10-06 08:59:10.098312
2410	30043	435	3	2021-10-06 08:59:10.098312
2411	81551	94	2	2021-10-06 08:59:10.098312
2412	43207	438	0	2021-10-06 08:59:10.098312
2413	76913	204	1	2021-10-06 08:59:10.098312
2414	67433	158	2	2021-10-06 08:59:10.098312
2415	97878	819	1	2021-10-06 08:59:10.098312
2416	88144	283	5	2021-10-06 08:59:10.098312
2417	97128	8	2	2021-10-06 08:59:10.098312
2418	11096	545	0	2021-10-06 08:59:10.098312
2419	33629	15	4	2021-10-06 08:59:10.098312
2420	97242	462	5	2021-10-06 08:59:10.098312
2421	83437	801	1	2021-10-06 08:59:10.098312
2422	58519	479	5	2021-10-06 08:59:10.098312
2423	91769	854	3	2021-10-06 08:59:10.098312
2424	76588	524	3	2021-10-06 08:59:10.098312
2425	1792	956	2	2021-10-06 08:59:10.098312
2426	21720	171	2	2021-10-06 08:59:10.098312
2427	97992	628	1	2021-10-06 08:59:10.098312
2428	58312	232	0	2021-10-06 08:59:10.098312
2429	37413	92	2	2021-10-06 08:59:10.098312
2430	19792	636	4	2021-10-06 08:59:10.098312
2431	87058	225	0	2021-10-06 08:59:10.098312
2432	3402	841	4	2021-10-06 08:59:10.098312
2433	41114	16	3	2021-10-06 08:59:10.098312
2434	56806	519	4	2021-10-06 08:59:10.098312
2435	14171	412	5	2021-10-06 08:59:10.098312
2436	62405	518	1	2021-10-06 08:59:10.098312
2437	81527	212	4	2021-10-06 08:59:10.098312
2438	46876	253	1	2021-10-06 08:59:10.098312
2439	16067	610	4	2021-10-06 08:59:10.098312
2440	92779	388	0	2021-10-06 08:59:10.098312
2441	4530	862	5	2021-10-06 08:59:10.098312
2442	61559	761	4	2021-10-06 08:59:10.098312
2443	86187	539	3	2021-10-06 08:59:10.098312
2444	78067	664	1	2021-10-06 08:59:10.098312
2445	70656	463	3	2021-10-06 08:59:10.098312
2446	43773	169	0	2021-10-06 08:59:10.098312
2447	44660	370	1	2021-10-06 08:59:10.098312
2448	65122	31	2	2021-10-06 08:59:10.098312
2449	41266	817	3	2021-10-06 08:59:10.098312
2450	35031	588	0	2021-10-06 08:59:10.098312
2451	65503	361	3	2021-10-06 08:59:10.098312
2452	9577	758	3	2021-10-06 08:59:10.098312
2453	8566	671	1	2021-10-06 08:59:10.098312
2454	52998	336	4	2021-10-06 08:59:10.098312
2455	15460	161	0	2021-10-06 08:59:10.098312
2456	77855	116	2	2021-10-06 08:59:10.098312
2457	2	658	2	2021-10-06 08:59:10.098312
2458	73266	142	4	2021-10-06 08:59:10.098312
2459	98655	112	5	2021-10-06 08:59:10.098312
2460	38214	403	4	2021-10-06 08:59:10.098312
2461	15961	815	5	2021-10-06 08:59:10.098312
2462	3009	562	0	2021-10-06 08:59:10.098312
2463	31095	611	3	2021-10-06 08:59:10.098312
2464	58533	621	0	2021-10-06 08:59:10.098312
2465	42301	672	1	2021-10-06 08:59:10.098312
2466	83965	592	2	2021-10-06 08:59:10.098312
2467	76434	875	1	2021-10-06 08:59:10.098312
2468	52783	456	3	2021-10-06 08:59:10.098312
2469	68717	293	4	2021-10-06 08:59:10.098312
2470	75179	348	1	2021-10-06 08:59:10.098312
2471	89223	537	2	2021-10-06 08:59:10.098312
2472	55636	432	1	2021-10-06 08:59:10.098312
2473	57666	205	2	2021-10-06 08:59:10.098312
2474	52319	997	5	2021-10-06 08:59:10.098312
2475	26401	256	4	2021-10-06 08:59:10.098312
2476	73418	329	1	2021-10-06 08:59:10.098312
2477	18177	250	1	2021-10-06 08:59:10.098312
2478	32816	639	4	2021-10-06 08:59:10.098312
2479	3827	508	5	2021-10-06 08:59:10.098312
2480	33623	904	3	2021-10-06 08:59:10.098312
2481	37294	676	3	2021-10-06 08:59:10.098312
2482	99009	675	2	2021-10-06 08:59:10.098312
2483	41528	452	2	2021-10-06 08:59:10.098312
2484	18011	329	4	2021-10-06 08:59:10.098312
2485	47425	905	0	2021-10-06 08:59:10.098312
2486	65050	368	1	2021-10-06 08:59:10.098312
2487	99798	192	2	2021-10-06 08:59:10.098312
2488	63105	858	5	2021-10-06 08:59:10.098312
2489	52613	261	3	2021-10-06 08:59:10.098312
2490	55173	55	5	2021-10-06 08:59:10.098312
2491	87039	570	2	2021-10-06 08:59:10.098312
2492	91981	720	4	2021-10-06 08:59:10.098312
2493	61224	280	5	2021-10-06 08:59:10.098312
2494	76441	44	3	2021-10-06 08:59:10.098312
2495	90509	910	5	2021-10-06 08:59:10.098312
2496	44064	546	0	2021-10-06 08:59:10.098312
2497	67517	138	4	2021-10-06 08:59:10.098312
2498	30833	145	0	2021-10-06 08:59:10.098312
2499	23358	577	5	2021-10-06 08:59:10.098312
2500	43348	394	1	2021-10-06 08:59:10.098312
2501	91807	950	1	2021-10-06 08:59:10.098312
2502	29834	788	5	2021-10-06 08:59:10.098312
2503	1573	431	5	2021-10-06 08:59:10.098312
2504	53804	862	0	2021-10-06 08:59:10.098312
2505	35215	697	3	2021-10-06 08:59:10.098312
2506	56400	688	5	2021-10-06 08:59:10.098312
2507	69986	505	5	2021-10-06 08:59:10.098312
2508	30922	408	3	2021-10-06 08:59:10.098312
2509	28222	367	2	2021-10-06 08:59:10.098312
2510	93001	445	1	2021-10-06 08:59:10.098312
2511	76548	96	3	2021-10-06 08:59:10.098312
2512	96573	308	4	2021-10-06 08:59:10.098312
2513	75996	959	3	2021-10-06 08:59:10.098312
2514	75422	350	0	2021-10-06 08:59:10.098312
2515	11494	41	3	2021-10-06 08:59:10.098312
2516	88250	121	3	2021-10-06 08:59:10.098312
2517	99108	684	4	2021-10-06 08:59:10.098312
2518	40747	752	2	2021-10-06 08:59:10.098312
2519	81951	422	3	2021-10-06 08:59:10.098312
2520	35409	504	4	2021-10-06 08:59:10.098312
2521	44024	600	3	2021-10-06 08:59:10.098312
2522	53067	120	1	2021-10-06 08:59:10.098312
2523	23339	158	3	2021-10-06 08:59:10.098312
2524	89942	950	2	2021-10-06 08:59:10.098312
2525	84088	697	1	2021-10-06 08:59:10.098312
2526	27434	804	4	2021-10-06 08:59:10.098312
2527	53869	759	4	2021-10-06 08:59:10.098312
2528	14141	659	5	2021-10-06 08:59:10.098312
2529	34861	887	3	2021-10-06 08:59:10.098312
2530	58379	95	1	2021-10-06 08:59:10.098312
2531	15001	317	1	2021-10-06 08:59:10.098312
2532	68726	383	1	2021-10-06 08:59:10.098312
2533	68677	403	2	2021-10-06 08:59:10.098312
2534	21607	480	5	2021-10-06 08:59:10.098312
2535	87275	79	2	2021-10-06 08:59:10.098312
2536	31566	859	5	2021-10-06 08:59:10.098312
2537	69804	293	4	2021-10-06 08:59:10.098312
2538	11970	49	2	2021-10-06 08:59:10.098312
2539	63784	24	0	2021-10-06 08:59:10.098312
2540	43283	437	1	2021-10-06 08:59:10.098312
2541	37095	272	5	2021-10-06 08:59:10.098312
